title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Data Analyst,Capgemini,Nan,onsite,NaN,"New Jersey, United States","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-capgemini-3621386735?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=7h%2BFGndzFzUwylkzcxCSYQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Brooksource,Nan,onsite,NaN,"Cerritos, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-01,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3624920957?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=AzTi5xA6lRylV8iJ1oTO4g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Centripetal Crossfit,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-centripetal-crossfit-3616969491?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=lQdtx40ef9tcsKGLvVNNlg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst/Data science -REMOTE,PSRTEK,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-data-science-remote-at-psrtek-3626317760?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=T2N4MawG6E9zAji%2BUPTKYg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst (Remote),SynergisticIT,Nan,onsite,NaN,"Jersey City, NJ","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development, Computer Networking Products, and Computer and Network Security'}]",2023-05-26,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-synergisticit-3617459653?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=mRy%2FZIv7lryOsbo%2BM%2ByjtA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Skill Demand,Nan,onsite,NaN,"Indianapolis, IN","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Business Consulting and Services'}]",2023-06-11,https://www.linkedin.com/jobs/view/data-analyst-at-skill-demand-3633642337?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=X%2FqVfKvFAe8zmclr58Ip2g%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
127 - Data Analyst,"Next Phase Solutions and Services, Inc.",Nan,onsite,NaN,"Columbia, MD","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-31,https://www.linkedin.com/jobs/view/127-data-analyst-at-next-phase-solutions-and-services-inc-3623661009?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=B7hH1Vni%2Bo1VGEf2aKcW%2Fg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,VRK IT Vision Inc.,Nan,onsite,NaN,"Chicago, IL","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-at-vrk-it-vision-inc-3625958423?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=I2hveOINcKfYxdAGKTrgUw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Rantec Power Systems Inc.,Nan,onsite,NaN,"Los Osos, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-23,https://www.linkedin.com/jobs/view/data-analyst-at-rantec-power-systems-inc-3615847918?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=1X5%2Fa8Q5GWlTW1GxDS8GMw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst (SQL, Tableau or equivalent reporting tools, excellent communication, interpret data. find pattern/trend) AK",Cube Hub Inc.,Nan,onsite,NaN,"Wichita, KS","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-sql-tableau-or-equivalent-reporting-tools-excellent-communication-interpret-data-find-pattern-trend-ak-at-cube-hub-inc-3614223162?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=F2Y%2F7K38eWuU4pr2TTnkOw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
